nome,ocupacao,data_nascimento,data_morte,conteudo
Menotti Del Picchia, Escritor brasileiro,20/03/1892,23/08/1988 (aos 96 anos),"Menotti Del Picchia (1892-1988) foi um poeta, romancista, ensaísta, cronista, jornalista, advogado e político brasileiro. Foi ativista do Modernismo, mas sua obra mais marcante é o poema “Juca Mulato”, em que a temática é o caboclo, o maior traço do Pré-Modernismo."
Melania Trump, Primeira-dama dos Estados Unidos,26/04/1970,não informado,"Melanija Knavs, conhecida como Melania Trump, é atualmente a primeira-dama dos Estados Unidos."
Meghan Markle, Esposa do príncipe Harry,04/08/1981,não informado,"Meghan  Markle (1981) é a esposa do príncipe Harry, o sexto na linha de sucessão  do trono britânico. O casal recebeu o título de Duque e Duquesa de Sussex. Meghan é ex-atriz norte-americana. "
Meg Cabot, Escritora norte-americana,01/02/1967,não informado,"Meg Cabot (1967) é uma escritora norte-americana de literatura juvenil. Com diversos títulos publicados é conhecida principalmente pelo livro “O Diário da Princesa”, o primeiro da série do mesmo nome, que se tornou um best-seller."
MC Loma, Cantora brasileira,29/10/2002,não informado,Paloma Roberta Silva Santos é uma cantora de funk e pop brasileira que estourou na internet após lançar o hit 
Nicette Bruno, Atriz brasileira,07/01/1933,não informado,"Nicette Bruno (1933-2020) é uma atriz brasileira. Integrou diversas companhias de teatro do país, recebendo vários prêmios de Melhor Atriz. Junto com Paulo Goulart formava um dos casais mais queridos da televisão brasileira."
Nicholas Sparks, Escritor norte-americano,31/12/1965,não informado,"Nicholas Sparks (1965) é um escritor norte-americano que obteve grande sucesso literário com os romances, “Diário de Uma Paixão”, “Querido John”, “A Última Música”, “Um Porto Seguro”, entre outros, muitos deles adaptados para o cinema."
Niccolò Paganini, Compositor e violonista italiano,27/10/1782,27/05/1840 (aos 57 anos),"Niccolò Paganini (1782-1840) foi um compositor e brilhante violonista italiano, considerado o maior virtuose do século XIX foi um dos criadores da estética musical romântica."
Nero, Imperador romano,não informado,não informado,"Nero (37 – 68) foi imperador romano entre os anos de 54 e 68 da era cristã. Foi o quinto representante da dinastia Júlio – Claudiana formada pelos imperadores, Augusto, Tibério, Calígula, Cláudio e Nero. Tornou-se um dos mais cruéis imperadores da história de Roma."
Nelson Rodrigues, Escritor brasileiro,23/08/1912,21/12/1980 (aos 68 anos),"Nelson Rodrigues (1912-1980) foi um escritor, jornalista e dramaturgo brasileiro. Revolucionou o teatro, com as peças, ""Vestido de Noiva"", ""Boca de Ouro"", ""A Falecida"", ""Toda Nudez Será Castigada"", entre outras. Teve a carreira marcada pela crítica, ao explorar a vida cotidiana do subúrbio carioca, com crimes, incestos e diálogos carregados de tragédia e humor."
Neymar, Jogador de futebol brasileiro,05/02/1992,não informado,"Neymar (1992) é um futebolista brasileiro, considerado um dos maiores da história. Ganhou diversos títulos jogando pelo Santos Futebol Clube, onde iniciou sua carreira aos 11 anos de idade. Sua posição é atacante. Jogador polêmico namorou uma menor de idade de 17 anos, com que tem um filho."
Nelson Motta, Jornalista e produtor musical brasileiro,20/10/1944,não informado,"Nelson Motta (1944) é um jornalista, compositor, produtor musical, apresentador e escritor brasileiro."
Nelson Mandela, Político sul-africano,18/07/1918,05/12/2013 (aos 95 anos),"Nelson Mandela (1918-2013) foi presidente da África do Sul. Foi o líder do movimento contra o Apartheid - legislação que segregava os negros no país. Condenado em 1964 à prisão perpetua, foi libertado em 1990, depois de grande pressão internacional. Recebeu o “Prêmio Nobel da Paz”, em dezembro de 1993, pela sua luta contra o regime de segregação racial."
Nicolas-François Appert, Inventor e industrial francês,17/11/1749,01/06/1841 (aos 91 anos), Inventor e industrial francês
Nicolás Maduro, Político venezuelano,23/11/1962,não informado,"Nicolás Maduro (1962) é um político venezuelano que preside a Venezuela desde 2012, após a doença e morte do presidente Hugo Chaves. Sua gestão é marcada pelo autoritarismo, pelo declínio socioeconômico, inflação e o crescimento da pobreza."
Nicolas Poussin, Pintor francês,19/11/1665,não informado,"Nicolas Poussin (1594-1665) foi um pintor francês, considerado um dos principais representantes do classicismo na pintura francesa."
Nelson Ferreira, Músico brasileiro,09/12/1902,21/12/1976 (aos 74 anos),"Nelson Ferreira (1902-1976) foi um músico brasileiro. Compôs músicas de carnaval, valsas, foxtrote, tangos e canções diversas. Criou a orquestra Nelson Ferreira, que era famosa no Recife e nos estados vizinhos."
Nélida Piñon, Escritora brasileira,03/05/1937,não informado,Nélida Piñon (1937) é uma escritora brasileira. Foi eleita a primeira mulher a presidir a Academia Brasileira de Letras por ocasião do seu primeiro centenário em 1997.
Nefertiti, Rainha do Egito,não informado,não informado,"Nefertiti foi uma rainha do Egito da XVIII dinastia. Foi casada com o faraó do Novo Império, Amenófes IV. Juntos empreenderam uma revolução religiosa e passaram a adorar apenas um deus Aton, simbolizado pelo disco solar."
Neil Armstrong, Astronauta norte-americano,05/08/1930,25/08/2012 (aos 82 anos),"Neil Armstrong (1930-2012) foi o primeiro homem a pisar na Lua. Comandante da Nave Apollo 11, ele deixou as suas pegadas no solo lunar no dia 20 de julho de 1969."
Natuza Nery, Jornalista brasileira,28/04/1977,não informado,Natuza Nery é uma reconhecida jornalista brasileira que atua especialmente nas áreas política e econômica.
Nathália Timberg, Atriz brasileira,05/08/1929,não informado,"Nathália Timberg (1929) é uma atriz brasileira, uma das mais consagradas atrizes da televisão, do teatro e do cinema brasileiro."
Nara Leão, Cantora brasileira,19/01/1942,07/06/1989 (aos 47 anos),"Nara Lofego Leão (1942-1989) foi uma importante cantora, artista plástica e atriz brasileira que ficou conhecida como ""a musa da bossa nova""."
Nara Almeida, Modelo brasileira,08/09/1993,21/05/2018 (aos 24 anos),"Elyanara Almeida Feitosa Bonfim, conhecida como Nara Almeida, foi uma modelo brasileira, influencer e instagrammer que faleceu aos 24 anos vítima de um câncer raro no estômago."
Napoleão Bonaparte, Imperador francês,15/08/1769,05/05/1821 (aos 51 anos),"Napoleão Bonaparte (1769-1821) foi imperador da França entre 1804 e 1814 com o título de Napoleão I. Líder político, ditador e comandante do Exercito Francês, conquistou uma grande extensão territorial para a França."
Napoleão III, Imperador francês,20/04/1808,09/01/1873 (aos 64 anos),"Napoleão III (1808-1873) foi imperador da França. Aclamado presidente da República, pelo povo, para o mandato de quatro anos, com um golpe de estado restaurou o trono francês e tornou-se imperador da França sob o título de Napoleão III."
Naná Vasconcelos, Músico brasileiro,02/08/1944,09/03/2016 (aos 71 anos),"Naná Vasconcelos (1944-2016) foi um músico brasileiro, eleito oito vezes o melhor percussionista do mundo pela revista americana de jazz DownBeat."
Nabucodonosor II, Rei da Babilônia,não informado,não informado,Nabucodonosor II (630-561 a. C.) foi rei da Babilônia entre 605 e 561 a. C. Lutou contra os egípcios pela posse da Síria e da Palestina. Por diversas vezes sitiou Jerusalém conduzindo os judeus ao cativeiro da Babilônia. Submeteu os fenícios depois de uma guerra de 13 anos.
Naamã,não informado,não informado,não informado,"Segundo relato bíblico, Naamã foi um conhecido general sírio que contraiu lepra e acabou se curando graças a um milagre realizado pelo profeta Eliseu."
Mussum, Humorista brasileiro,07/04/1941,29/07/1944 (aos 3 anos),"Mussum (1941-1994) foi um humorista, ator e sambista brasileiro. Integrou o quarteto Os Trapalhões e o grupo musical Originais do Samba."
Murilo Mendes, Poeta brasileiro,13/05/1901,13/08/1975 (aos 74 anos),"Murilo Mendes (1901-1975) foi um poeta brasileiro. Fez parte do Segundo Tempo Modernista. Recebeu o Prêmio Graça Aranha com seu primeiro livro ""Poemas"". Participou do Movimento Antropofágico, que buscava uma vinculação com as origens do Brasil."
Murilo Benício, Ator brasileiro,13/07/1972,não informado,Murilo Benício (1972) é ator brasileiro. Conhecido pela  atuação na novela “O Clone”. Foi casado com a atriz Giovanna Antonelli.
Muhammad Ali, Pugilista norte-americano,17/01/1942,03/06/2016 (aos 74 anos),"Muhammad Ali (1942-2016) foi um pugilista norte-americano, considerado um dos maiores boxeadores da história."
Murillo La Greca, Pintor brasileiro,03/08/1899,05/07/1985 (aos 85 anos),"Murillo La Greca (1899-1985) foi um pintor, escultor e professor brasileiro, o primeiro a implantar no Nordeste, na Escola de Belas Artes, a disciplina de Modelo Vivo."
Moura Cavalcanti, Político brasileiro,20/10/1925,28/11/1994 (aos 69 anos),"Moura Cavalcanti (1925-1994) foi um político, advogado e administrador brasileiro. Exerceu diversos cargos públicos. Foi Ministro da Agricultura, no governo do presidente Médici. Foi Governador de Pernambuco entre os anos de 1975 e 1979."
Morihei Ueshiba, Mestre de artes marciais,14/12/1883,26/04/1969 (aos 85 anos),"Morihei Ueshiba (1883-1969) foi um mestre de artes marciais do Japão, fundador do Aikido (arte da paz). Foi considerado um dos melhores mestres da história das artes marciais."
Patativa do Assaré, Poeta popular,05/03/1909,08/07/2002 (aos 93 anos),"Patativa do Assaré (1909-2002) foi um poeta e repentista brasileiro, um dos principais representantes da arte popular nordestina do século XX. Com uma linguagem simples, porém poética, retratava a vida sofrida e árida do povo do sertão. Projetou-se nacionalmente com o poema ""Triste Partida"" em 1964, musicado e gravado por Luiz Gonzaga. Seus livros, traduzidos em vários idiomas, foram tema de estudos na Sorbonne, na cadeira de Literatura Popular Universal."
Parmênides,não informado,não informado,não informado,"Parmênides (510 – 445 a. C.) foi um filósofo grego da Antiguidade, o primeiro pensador a discutir questões relativas ao “Ser”. Foi um dos três mais importantes filósofos da escola eleática, junto com Xenófanes e Zenão."
Paris Hilton, Atriz e empresária norte-americana,17/02/1981,não informado,"Paris Hilton (1981) é uma empresária, modelo, atriz, compositora e cantora norte-americana. Atuou em vários vídeos publicitários e protagonizou várias polêmicas, entre elas, a briga com a atriz Lindsay Lohan."
Paramahansa Yogananda, Iogue e guru indiano,05/01/1893,07/03/1952 (aos 59 anos),"Paramahansa Yogananda (1893-1952) foi um iogue e guru indiano, considerado um dos maiores emissários da antiga filosofia da Índia para o Ocidente."
Paracelso, Médico suíço,10/11/1493,24/09/1541 (aos 47 anos),"Paracelso (1493-1541) foi um médico, alquimista e filósofo suíço. Revolucionou a medicina de seu tempo ao anunciar alguns dos princípios que seriam resgatados no século XIX."
Papa Pio IX, Papa da Igreja Católica,13/05/1792,07/02/1878 (aos 85 anos),"Papa Pio IX (1792-1878) foi Papa entre os anos de 1846 e 1878. Seu pontificado foi marcado pelas lutas pela unificação da Itália. Foi beatificado em 3 de setembro de 2000, pelo Papa João Paulo II."
Papa Leão XIII, Papa da Igreja Católica,02/03/1810,20/07/1903 (aos 93 anos),Papa Leão XIII (1810-1903) foi Papa da Igreja Católica entre os anos de 1878 e 1903. Seu pontificado foi marcado pela diplomacia e conciliação. Lançou as bases da doutrina social da Igreja.
Papa Francisco, Religioso católico,17/12/1936,não informado,"Papa Francisco (1936) é um religioso católico, o 226.º papa da história da Igreja, o primeiro pontífice não europeu em 1 200 anos. É o primeiro papa vindo da América Latina. Foi eleito Papa no conclave de 13 de março de 2013."
Pancho Villa, Revolucionário mexicano,05/06/1878,20/07/1923 (aos 45 anos), Revolucionário mexicano
Pagu, Escritora brasileira,09/06/1910,12/12/1962 (aos 52 anos),"Pagu (1910-1962) foi uma escritora, jornalista, produtora cultural e militante política brasileira. Foi a primeira mulher brasileira a ser presa política no século XX."
Padre Quevedo, Padre jesuíta e parapsicólogo,15/12/1930,09/01/2019 (aos 88 anos),"Padre Quevedo (1930-2019) foi um padre jesuíta, parapsicólogo e professor. De origem espanhola e nacionalizado brasileiro, foi o criador do famoso bordão “Isso non ecziste”."
Padre Pio de Pietrelcina, Sacerdote católico italiano,25/05/1887,23/09/1968 (aos 81 anos),"Padre Pio de Pietrelcina (1887-1968) foi um sacerdote católico italiano, da Ordem dos Frades Menores Capuchinhos. Em 2002, foi canonizado pelo Papa João Paulo II, como São Pio de Pietrelcina."
Padre Cícero, Líder católico brasileiro,24/03/1844,20/07/1934 (aos 90 anos),"Padre Cícero (1844-1934) foi um líder católico brasileiro. Foi ordenado padre em Fortaleza no ano de 1870. Realizou um trabalho pastoral, com pregações e visitas domiciliares. Conquistou a simpatia dos católicos."
Padre Maurício, Compositor brasileiro,22/09/1767,18/04/1830 (aos 62 anos),Padre Maurício (1767-1830) foi compositor brasileiro de música sacra.
Padre Marcelo Rossi, Sacerdote brasileiro,20/05/1967,não informado,"Padre Marcelo Rossi (1967) é um sacerdote católico brasileiro. Ficou conhecido nos meios de comunicação por seu jeito especial de evangelização, onde leva através da música a palavra de Deus."
Padre Manuel da Nóbrega, Padre jesuíta,18/10/1517,18/10/1570 (aos 52 anos),"Padre Manuel da Nóbrega (1517-1570) foi um missionário jesuíta português, chefe da primeira missão jesuíta mandada para a América. Deixou valiosas notícias históricas sobre o Brasil Colonial, nas cartas que enviava para a Companhia de Jesus em Portugal."
